business_id,subsector
14969,Restaurants
14980,Health & Beauty
14981,Restaurants
14983,Miscellaneous
14991,Financial Services
15009,Plumbing & HVAC
15037,Miscellaneous
15043,Miscellaneous
15048,Specialty Food
15051,Specialty Retail
15054,Miscellaneous
15056,Bars & Nightlife
15057,Bars & Nightlife
15078,Clothing & Apparel
15114,Miscellaneous
15118,Miscellaneous
15120,Sports & Recreation
15121,Health & Beauty
15129,Miscellaneous
15138,Health & Beauty
15153,Miscellaneous
15167,Bakery & Desserts
15168,Miscellaneous
15177,Bars & Nightlife
15182,Coffee & Tea
15190,Bars & Nightlife
15200,Restaurants
15212,Miscellaneous
15230,Specialty Food
15241,Miscellaneous
15267,Miscellaneous
15281,Miscellaneous
15282,Restaurants
15284,Automotive Retail
15304,Home & Garden
15307,Bars & Nightlife
15311,Repair & Maintenance
15315,Health & Beauty
15323,Health & Beauty
15333,Restaurants
15334,Coffee & Tea
15357,Miscellaneous
15404,Hotels & Motels
15450,Arts & Entertainment
15453,Miscellaneous
15454,Coffee & Tea
15456,Miscellaneous
15463,Miscellaneous
15478,Miscellaneous
15479,Miscellaneous
15499,Miscellaneous
15527,Automotive Retail
15591,Miscellaneous
15605,Miscellaneous
15607,Construction & Contractors
15610,Dry Cleaning & Laundry
15618,Miscellaneous
15619,Automotive Retail
15659,Restaurants
15660,Miscellaneous
15681,Sports & Recreation
15688,Restaurants
15710,Restaurants
15717,Miscellaneous
15723,Miscellaneous
15725,Coffee & Tea
15745,Miscellaneous
15798,Construction & Contractors
15805,Restaurants
15806,Restaurants
15809,Miscellaneous
15810,Telecommunications
15833,Miscellaneous
15844,Miscellaneous
15849,Pet Services
15881,Health & Beauty
15888,Clothing & Apparel
15894,Coffee & Tea
15897,Health & Beauty
15911,Miscellaneous
15942,Miscellaneous
15951,Miscellaneous
15980,Miscellaneous
15981,Miscellaneous
15998,Miscellaneous
16000,Health & Beauty
16042,Cleaning Services
16060,Miscellaneous
16061,Miscellaneous
16062,Miscellaneous
16063,Miscellaneous
16080,Restaurants
16095,Restaurants
16107,Miscellaneous
16135,Restaurants
16136,Coffee & Tea
16148,Miscellaneous
16164,Miscellaneous
16177,Miscellaneous
16181,Miscellaneous
16184,Telecommunications
16193,Miscellaneous
16231,Bars & Nightlife
16241,Restaurants
16247,Fitness & Recreation
16280,Miscellaneous
16281,Miscellaneous
16282,Restaurants
16288,Miscellaneous
16300,Miscellaneous
16302,Restaurants
16303,Restaurants
16304,Miscellaneous
16318,Construction & Contractors
16322,Bakery & Desserts
16327,Construction & Contractors
16343,Miscellaneous
16344,Restaurants
16362,Restaurants
16386,Fitness & Recreation
16387,Restaurants
16388,Bakery & Desserts
16396,Health & Beauty
16450,Miscellaneous
16458,Miscellaneous
16498,Real Estate
16501,Financial Services
16503,Miscellaneous
16504,Miscellaneous
16520,Miscellaneous
16521,Restaurants
16522,Miscellaneous
16527,Restaurants
16543,Miscellaneous
16571,Health & Beauty
16590,Restaurants
16595,Miscellaneous
16596,Cleaning Services
16602,Medical Offices
16603,Specialty Food
16604,Bars & Nightlife
16620,Arts & Entertainment
16621,Miscellaneous
16624,Miscellaneous
16648,Cleaning Services
16672,Miscellaneous
16683,Miscellaneous
16699,Miscellaneous
16713,Miscellaneous
16716,Restaurants
16737,Miscellaneous
16740,Pet Services
16748,Miscellaneous
16760,Home & Garden
16761,Miscellaneous
16806,Miscellaneous
16831,Miscellaneous
16870,Miscellaneous
16877,Bars & Nightlife
16928,Arts & Entertainment
16934,Miscellaneous
16947,Car Wash & Detailing
16967,Miscellaneous
16988,Miscellaneous
16991,Bakery & Desserts
17013,Health & Beauty
17020,Miscellaneous
17026,Clothing & Apparel
17030,Miscellaneous
17039,Miscellaneous
17041,Miscellaneous
17047,Miscellaneous
17067,Specialty Food
17072,Miscellaneous
17079,Repair & Maintenance
17087,Bars & Nightlife
17089,Miscellaneous
17107,Miscellaneous
17108,Restaurants
17127,Restaurants
17145,Bars & Nightlife
17153,Restaurants
17177,Restaurants
17206,Restaurants
17207,Miscellaneous
17210,Bars & Nightlife
17218,Specialized Healthcare
17231,Bars & Nightlife
17263,Restaurants
17275,Miscellaneous
