business_id,subsector
3001,Arts & Entertainment
3023,Hotels & Motels
3042,Restaurants
3047,Medical Offices
3068,Restaurants
3070,Coffee & Tea
3080,Restaurants
3081,Arts & Entertainment
3082,Miscellaneous
3083,Health & Beauty
3088,Miscellaneous
3147,Bars & Nightlife
3161,Miscellaneous
3166,Miscellaneous
3174,Miscellaneous
3181,Miscellaneous
3189,Miscellaneous
3196,Repair & Maintenance
3198,Medical Offices
3199,Medical Offices
3200,Miscellaneous
3212,Miscellaneous
3224,Miscellaneous
3244,Miscellaneous
3250,Miscellaneous
3257,Coffee & Tea
3261,Clothing & Apparel
3262,Specialty Food
3263,Health & Beauty
3265,Miscellaneous
3266,Specialty Food
3280,Bakery & Desserts
3283,Miscellaneous
3285,Miscellaneous
3290,Miscellaneous
3315,Restaurants
3356,Hotels & Motels
3372,Miscellaneous
3377,Miscellaneous
3378,Miscellaneous
3409,Fast Food
3428,Miscellaneous
3444,Miscellaneous
3449,Mental Health
3451,Repair & Maintenance
3454,Medical Offices
3473,Miscellaneous
3475,Miscellaneous
3489,Coffee & Tea
3505,Miscellaneous
3517,Miscellaneous
3520,Mental Health
3521,Repair & Maintenance
3527,Miscellaneous
3528,Medical Offices
3547,Miscellaneous
3549,Miscellaneous
3552,Plumbing & HVAC
3557,Miscellaneous
3588,Miscellaneous
3602,Miscellaneous
3605,Repair & Maintenance
3632,Miscellaneous
3643,Construction & Contractors
3644,Miscellaneous
3647,Coffee & Tea
3664,Medical Offices
3668,Sports & Recreation
3672,Legal Services
3687,Miscellaneous
3692,Clothing & Apparel
3714,Miscellaneous
3720,Restaurants
3742,Medical Offices
3749,Fast Food
3791,Restaurants
3795,Miscellaneous
3799,Medical Offices
3806,Telecommunications
3808,Miscellaneous
3815,Miscellaneous
3845,Miscellaneous
3851,Restaurants
3864,Construction & Contractors
3874,Mental Health
3877,Restaurants
3878,Medical Offices
3916,Miscellaneous
3922,Bars & Nightlife
3931,Miscellaneous
3941,Miscellaneous
3945,Bars & Nightlife
3966,Miscellaneous
3968,Health & Beauty
3971,Schools
3977,Miscellaneous
3982,Restaurants
3985,Medical Offices
3995,Miscellaneous
4017,Miscellaneous
4019,Medical Offices
4042,Medical Offices
4052,Mental Health
4054,Miscellaneous
4056,Miscellaneous
4057,Miscellaneous
4087,Bakery & Desserts
4098,Miscellaneous
4105,Miscellaneous
4128,Specialized Healthcare
4151,Miscellaneous
4183,Miscellaneous
4200,Miscellaneous
4235,Miscellaneous
4244,Miscellaneous
4249,Restaurants
4258,Sports & Recreation
4290,Towing & Roadside
4316,Medical Offices
4331,Cleaning Services
4337,Miscellaneous
4364,Restaurants
4370,Repair & Maintenance
4380,Miscellaneous
4388,Miscellaneous
4391,Landscaping
4435,Specialty Retail
4474,Miscellaneous
4486,Miscellaneous
4512,Medical Offices
4539,Miscellaneous
4572,Construction & Contractors
4574,Medical Offices
4577,Restaurants
4581,Miscellaneous
4595,Financial Services
4604,Medical Offices
4632,Medical Offices
4644,Health & Beauty
4657,Legal Services
4661,Miscellaneous
4680,Miscellaneous
4693,Coffee & Tea
4719,Restaurants
4739,Fitness & Recreation
4749,Miscellaneous
4757,Restaurants
4788,Miscellaneous
4790,Miscellaneous
4793,Miscellaneous
4794,Miscellaneous
4800,Clothing & Apparel
4806,Miscellaneous
4808,Home & Garden
4810,Miscellaneous
4836,Restaurants
4841,Restaurants
4852,Bars & Nightlife
4860,Medical Offices
4862,Construction & Contractors
4874,Miscellaneous
4891,Miscellaneous
4913,Repair & Maintenance
4914,Telecommunications
4926,Miscellaneous
4934,Miscellaneous
4937,Legal Services
4941,Miscellaneous
4942,Miscellaneous
4963,Miscellaneous
4965,Specialty Food
4966,Telecommunications
4973,Miscellaneous
4977,Miscellaneous
4980,Restaurants
5025,Miscellaneous
5036,Miscellaneous
5049,Miscellaneous
5066,Health & Beauty
5072,Miscellaneous
5081,Miscellaneous
5107,Construction & Contractors
5111,Miscellaneous
5113,Health & Beauty
5123,Miscellaneous
5130,Clothing & Apparel
5138,Miscellaneous
5151,Miscellaneous
5179,Miscellaneous
5180,Miscellaneous
5189,Miscellaneous
5196,Miscellaneous
5211,Medical Offices
5212,Miscellaneous
5230,Miscellaneous
5247,Medical Offices
5250,Real Estate
5275,Miscellaneous
5290,Specialty Retail
5291,Home & Garden
5307,Financial Services
5309,Health & Beauty
5322,Miscellaneous
5359,Restaurants
5371,Miscellaneous
5375,Miscellaneous
5383,Restaurants
5394,Miscellaneous
5471,Miscellaneous
5478,Miscellaneous
5502,Medical Offices
5514,Telecommunications
5526,Medical Offices
5567,Schools
5573,Miscellaneous
5598,Miscellaneous
5603,Fast Food
5614,Miscellaneous
5615,Business Services
5640,Cleaning Services
5663,Schools
5672,Miscellaneous
5683,Repair & Maintenance
5712,Repair & Maintenance
5736,Miscellaneous
5760,Repair & Maintenance
5768,Fitness & Recreation
5775,Medical Offices
5779,Miscellaneous
5791,Financial Services
5793,Miscellaneous
5823,Automotive Retail
5829,Miscellaneous
5834,Coffee & Tea
5854,Restaurants
5859,Miscellaneous
5867,Miscellaneous
5875,Miscellaneous
5880,Real Estate
5883,Home & Garden
5942,Bars & Nightlife
5944,Miscellaneous
5968,Clothing & Apparel
5971,Restaurants
5972,Financial Services
6006,Financial Services
6007,Miscellaneous
6009,Plumbing & HVAC
6018,Sports & Recreation
6034,Health & Beauty
6074,Miscellaneous
6079,Miscellaneous
6084,Miscellaneous
6102,Miscellaneous
6118,Real Estate
6127,Telecommunications
6135,Telecommunications
6138,Miscellaneous
6146,Miscellaneous
6150,Miscellaneous
6161,Coffee & Tea
6168,Restaurants
6181,Restaurants
6217,Miscellaneous
6221,Childcare
6234,Medical Offices
6245,Restaurants
6249,Construction & Contractors
6250,Plumbing & HVAC
6256,Health & Beauty
6265,Telecommunications
6279,Restaurants
6287,Miscellaneous
6298,Miscellaneous
6299,Restaurants
6308,Fast Food
6310,Miscellaneous
6311,Bars & Nightlife
6319,Miscellaneous
6329,Health & Beauty
6338,Miscellaneous
6341,Miscellaneous
6373,Legal Services
6385,Medical Offices
6391,Coffee & Tea
6429,Miscellaneous
6515,Miscellaneous
6531,Miscellaneous
6552,Miscellaneous
6563,Miscellaneous
6582,Miscellaneous
6583,Mental Health
6611,Miscellaneous
6638,Restaurants
6642,Restaurants
6647,Miscellaneous
6658,Cleaning Services
6659,Miscellaneous
6664,Miscellaneous
6669,Miscellaneous
6706,Miscellaneous
6729,Health & Beauty
6748,Financial Services
6753,Health & Beauty
6761,Miscellaneous
6781,Fast Food
6796,Miscellaneous
6799,Bars & Nightlife
6804,Miscellaneous
6857,Medical Offices
6877,Miscellaneous
6935,Fitness & Recreation
6938,Pharmacy
6943,Restaurants
6948,Repair & Maintenance
6952,Miscellaneous
6959,Health & Beauty
6993,Fitness & Recreation
7005,Medical Offices
7016,Miscellaneous
7017,Miscellaneous
7035,Miscellaneous
7055,Miscellaneous
7065,Miscellaneous
7074,Financial Services
7080,Miscellaneous
7081,Medical Offices
7084,Telecommunications
7114,Miscellaneous
7123,Health & Beauty
7137,Restaurants
7163,Schools
7164,Miscellaneous
7166,Car Wash & Detailing
7170,Restaurants
7172,Miscellaneous
7197,Medical Offices
7210,Financial Services
7227,Miscellaneous
7265,Events & Venues
7266,Miscellaneous
7287,Miscellaneous
7297,Real Estate
7306,Miscellaneous
7314,Restaurants
7364,Pharmacy
7388,Repair & Maintenance
7396,Fitness & Recreation
7398,Miscellaneous
7423,Miscellaneous
7437,Clothing & Apparel
7444,Miscellaneous
7447,Miscellaneous
7484,Miscellaneous
7498,Miscellaneous
7504,Miscellaneous
7513,Medical Offices
7517,Medical Offices
7525,Miscellaneous
7531,Miscellaneous
7532,Miscellaneous
7571,Miscellaneous
7576,Restaurants
7586,Medical Offices
7604,Clothing & Apparel
7624,Home & Garden
7630,Restaurants
7675,Miscellaneous
7682,Pet Services
7689,Restaurants
7691,Health & Beauty
